Date,State,Vehicle_Category,EV_Sales_Quantity
2021-01-01,Rajasthan,4-Wheelers,6
2021-01-01,Rajasthan,Bus,0
2021-01-01,Rajasthan,Others,2
2021-01-01,Sikkim,2-Wheelers,54
2021-01-01,Sikkim,3-Wheelers,7
2021-01-01,Sikkim,4-Wheelers,7
2021-01-01,Sikkim,Bus,1
2021-01-01,Sikkim,Others,2
2021-01-01,Tamil Nadu,2-Wheelers,41
2021-01-01,Tamil Nadu,3-Wheelers,0
2021-01-01,Tamil Nadu,4-Wheelers,6
2021-01-01,Tamil Nadu,Bus,3
2021-01-01,Tamil Nadu,Others,0
2021-01-01,Telangana,2-Wheelers,31
2021-01-01,Telangana,3-Wheelers,9
2021-01-01,Telangana,4-Wheelers,0
2021-01-01,Telangana,Bus,0
2021-01-01,Telangana,Others,2
2021-01-01,Tripura,2-Wheelers,42
2021-01-01,Tripura,3-Wheelers,0
2021-01-01,Tripura,4-Wheelers,8
2021-01-01,Tripura,Bus,0
2021-01-01,Tripura,Others,2
2021-01-01,Uttar Pradesh,2-Wheelers,0
2021-01-01,Uttar Pradesh,3-Wheelers,8
2021-01-01,Uttar Pradesh,4-Wheelers,13
2021-01-01,Uttar Pradesh,Bus,2
2021-01-01,Uttar Pradesh,Others,6
2021-01-01,Uttarakhand,2-Wheelers,25
2021-01-01,Uttarakhand,3-Wheelers,11
2021-01-01,Uttarakhand,4-Wheelers,8
2021-01-01,Uttarakhand,Bus,2
2021-01-01,Uttarakhand,Others,3
2021-01-01,West Bengal,2-Wheelers,37
2021-01-01,West Bengal,3-Wheelers,16
2021-01-01,West Bengal,4-Wheelers,6
2021-01-01,West Bengal,Bus,0
2021-01-01,West Bengal,Others,0
2021-01-02,Andhra Pradesh,2-Wheelers,35
2021-01-02,Andhra Pradesh,3-Wheelers,9
2021-01-02,Andhra Pradesh,4-Wheelers,4
2021-01-02,Andhra Pradesh,Bus,2
2021-01-02,Andhra Pradesh,Others,4
2021-01-02,Arunachal Pradesh,2-Wheelers,0
2021-01-02,Arunachal Pradesh,3-Wheelers,13
2021-01-02,Arunachal Pradesh,4-Wheelers,5
2021-01-02,Arunachal Pradesh,Bus,1
2021-01-02,Arunachal Pradesh,Others,0
2021-01-02,Assam,2-Wheelers,0
2021-01-02,Assam,3-Wheelers,7
2021-01-02,Assam,4-Wheelers,0
2021-01-02,Assam,Bus,1
2021-01-02,Assam,Others,0
2021-01-02,Bihar,2-Wheelers,56
2021-01-02,Bihar,3-Wheelers,7
2021-01-02,Bihar,4-Wheelers,11
2021-01-02,Bihar,Bus,2
2021-01-02,Bihar,Others,4
2021-01-02,Chandigarh,2-Wheelers,52
2021-01-02,Chandigarh,3-Wheelers,0
2021-01-02,Chandigarh,4-Wheelers,0
2021-01-02,Chandigarh,Bus,1
2021-01-02,Chandigarh,Others,5
2021-01-02,Chhattisgarh,2-Wheelers,0
2021-01-02,Chhattisgarh,3-Wheelers,14
2021-01-02,Chhattisgarh,4-Wheelers,10
2021-01-02,Chhattisgarh,Bus,1
2021-01-02,Chhattisgarh,Others,4
2021-01-02,Delhi,2-Wheelers,81
2021-01-02,Delhi,3-Wheelers,0
2021-01-02,Delhi,4-Wheelers,0
2021-01-02,Delhi,Bus,2
2021-01-02,Delhi,Others,7
2021-01-02,Goa,2-Wheelers,30
2021-01-02,Goa,3-Wheelers,13
2021-01-02,Goa,4-Wheelers,8
2021-01-02,Goa,Bus,1
2021-01-02,Goa,Others,5
2021-01-02,Gujarat,2-Wheelers,38
2021-01-02,Gujarat,3-Wheelers,0
2021-01-02,Gujarat,4-Wheelers,16
2021-01-02,Gujarat,Bus,2
2021-01-02,Gujarat,Others,4
2021-01-02,Haryana,2-Wheelers,34
2021-01-02,Haryana,3-Wheelers,7
2021-01-02,Haryana,4-Wheelers,6
2021-01-02,Haryana,Bus,1
2021-01-02,Haryana,Others,0
2021-01-02,Himachal Pradesh,2-Wheelers,0
2021-01-02,Himachal Pradesh,3-Wheelers,7
2021-01-02,Himachal Pradesh,4-Wheelers,11
2021-01-02,Himachal Pradesh,Bus,1
2021-01-02,Himachal Pradesh,Others,4
2021-01-02,Jharkhand,2-Wheelers,0
2021-01-02,Jharkhand,3-Wheelers,13
2021-01-02,Jharkhand,4-Wheelers,10
2021-01-02,Jharkhand,Bus,0
2021-01-02,Jharkhand,Others,0
2021-01-02,Karnataka,2-Wheelers,69
2021-01-02,Karnataka,3-Wheelers,0
2021-01-02,Karnataka,4-Wheelers,13
2021-01-02,Karnataka,Bus,0
2021-01-02,Karnataka,Others,10
2021-01-02,Kerala,2-Wheelers,36
2021-01-02,Kerala,3-Wheelers,8
2021-01-02,Kerala,4-Wheelers,10
2021-01-02,Kerala,Bus,2
2021-01-02,Kerala,Others,2
2021-01-02,Madhya Pradesh,2-Wheelers,0
2021-01-02,Madhya Pradesh,3-Wheelers,9
2021-01-02,Madhya Pradesh,4-Wheelers,0
2021-01-02,Madhya Pradesh,Bus,0
2021-01-02,Madhya Pradesh,Others,0
2021-01-02,Maharashtra,2-Wheelers,51
2021-01-02,Maharashtra,3-Wheelers,0
2021-01-02,Maharashtra,4-Wheelers,15
2021-01-02,Maharashtra,Bus,4
2021-01-02,Maharashtra,Others,0
2021-01-02,Manipur,2-Wheelers,24
2021-01-02,Manipur,3-Wheelers,14
2021-01-02,Manipur,4-Wheelers,6
2021-01-02,Manipur,Bus,1
2021-01-02,Manipur,Others,0
2021-01-02,Meghalaya,2-Wheelers,23
2021-01-02,Meghalaya,3-Wheelers,0
2021-01-02,Meghalaya,4-Wheelers,5
2021-01-02,Meghalaya,Bus,0
2021-01-02,Meghalaya,Others,0
2021-01-02,Mizoram,2-Wheelers,39
2021-01-02,Mizoram,3-Wheelers,14
2021-01-02,Mizoram,4-Wheelers,8
2021-01-02,Mizoram,Bus,1
2021-01-02,Mizoram,Others,2
2021-01-02,Nagaland,2-Wheelers,0
2021-01-02,Nagaland,3-Wheelers,14
2021-01-02,Nagaland,4-Wheelers,6
2021-01-02,Nagaland,Bus,2
2021-01-02,Nagaland,Others,4
2021-01-02,Odisha,2-Wheelers,0
2021-01-02,Odisha,3-Wheelers,14
2021-01-02,Odisha,4-Wheelers,7
2021-01-02,Odisha,Bus,1
2021-01-02,Odisha,Others,4
2021-01-02,Puducherry,2-Wheelers,22
2021-01-02,Puducherry,3-Wheelers,0
2021-01-02,Puducherry,4-Wheelers,12
2021-01-02,Puducherry,Bus,2
2021-01-02,Puducherry,Others,2
2021-01-02,Punjab,2-Wheelers,0
2021-01-02,Punjab,3-Wheelers,10
2021-01-02,Punjab,4-Wheelers,8
2021-01-02,Punjab,Bus,0
2021-01-02,Punjab,Others,0
2021-01-02,Rajasthan,2-Wheelers,37
2021-01-02,Rajasthan,3-Wheelers,0
2021-01-02,Rajasthan,4-Wheelers,0
2021-01-02,Rajasthan,Bus,0
2021-01-02,Rajasthan,Others,4
2021-01-02,Sikkim,2-Wheelers,21
2021-01-02,Sikkim,3-Wheelers,9
2021-01-02,Sikkim,4-Wheelers,11
2021-01-02,Sikkim,Bus,0
2021-01-02,Sikkim,Others,0
2021-01-02,Tamil Nadu,2-Wheelers,91
2021-01-02,Tamil Nadu,3-Wheelers,0
2021-01-02,Tamil Nadu,4-Wheelers,16
2021-01-02,Tamil Nadu,Bus,3
2021-01-02,Tamil Nadu,Others,0
2021-01-02,Telangana,2-Wheelers,0
2021-01-02,Telangana,3-Wheelers,14
2021-01-02,Telangana,4-Wheelers,0
2021-01-02,Telangana,Bus,2
2021-01-02,Telangana,Others,2
2021-01-02,Tripura,2-Wheelers,23
2021-01-02,Tripura,3-Wheelers,10
2021-01-02,Tripura,4-Wheelers,6
2021-01-02,Tripura,Bus,0
2021-01-02,Tripura,Others,0
2021-01-02,Uttar Pradesh,2-Wheelers,45
2021-01-02,Uttar Pradesh,3-Wheelers,19
2021-01-02,Uttar Pradesh,4-Wheelers,12
2021-01-02,Uttar Pradesh,Bus,0
2021-01-02,Uttar Pradesh,Others,0
2021-01-02,Uttarakhand,2-Wheelers,41
2021-01-02,Uttarakhand,3-Wheelers,0
2021-01-02,Uttarakhand,4-Wheelers,8
2021-01-02,Uttarakhand,Bus,0
2021-01-02,Uttarakhand,Others,5
2021-01-02,West Bengal,2-Wheelers,32
2021-01-02,West Bengal,3-Wheelers,0
2021-01-02,West Bengal,4-Wheelers,0
2021-01-02,West Bengal,Bus,1
2021-01-02,West Bengal,Others,5
2021-01-03,Andhra Pradesh,2-Wheelers,48
2021-01-03,Andhra Pradesh,3-Wheelers,14
2021-01-03,Andhra Pradesh,4-Wheelers,0
2021-01-03,Andhra Pradesh,Bus,1
2021-01-03,Andhra Pradesh,Others,3
2021-01-03,Arunachal Pradesh,2-Wheelers,49
2021-01-03,Arunachal Pradesh,3-Wheelers,17
2021-01-03,Arunachal Pradesh,4-Wheelers,0
2021-01-03,Arunachal Pradesh,Bus,1
2021-01-03,Arunachal Pradesh,Others,2
2021-01-03,Assam,2-Wheelers,33
2021-01-03,Assam,3-Wheelers,6
2021-01-03,Assam,4-Wheelers,5
2021-01-03,Assam,Bus,0
2021-01-03,Assam,Others,0
2021-01-03,Bihar,2-Wheelers,0
2021-01-03,Bihar,3-Wheelers,15
2021-01-03,Bihar,4-Wheelers,0
2021-01-03,Bihar,Bus,1
2021-01-03,Bihar,Others,3
2021-01-03,Chandigarh,2-Wheelers,0
2021-01-03,Chandigarh,3-Wheelers,0
2021-01-03,Chandigarh,4-Wheelers,4
2021-01-03,Chandigarh,Bus,1
2021-01-03,Chandigarh,Others,0
2021-01-03,Chhattisgarh,2-Wheelers,31
2021-01-03,Chhattisgarh,3-Wheelers,16
2021-01-03,Chhattisgarh,4-Wheelers,10
2021-01-03,Chhattisgarh,Bus,2
2021-01-03,Chhattisgarh,Others,0
2021-01-03,Delhi,2-Wheelers,28
2021-01-03,Delhi,3-Wheelers,12
2021-01-03,Delhi,4-Wheelers,0
2021-01-03,Delhi,Bus,1
2021-01-03,Delhi,Others,4
2021-01-03,Goa,2-Wheelers,44
2021-01-03,Goa,3-Wheelers,16
2021-01-03,Goa,4-Wheelers,7
2021-01-03,Goa,Bus,2
2021-01-03,Goa,Others,0
2021-01-03,Gujarat,2-Wheelers,0
2021-01-03,Gujarat,3-Wheelers,9
2021-01-03,Gujarat,4-Wheelers,15
2021-01-03,Gujarat,Bus,2
2021-01-03,Gujarat,Others,7
2021-01-03,Haryana,2-Wheelers,0
2021-01-03,Haryana,3-Wheelers,0
2021-01-03,Haryana,4-Wheelers,9
2021-01-03,Haryana,Bus,1
2021-01-03,Haryana,Others,6
2021-01-03,Himachal Pradesh,2-Wheelers,39
2021-01-03,Himachal Pradesh,3-Wheelers,15
2021-01-03,Himachal Pradesh,4-Wheelers,0
2021-01-03,Himachal Pradesh,Bus,0
2021-01-03,Himachal Pradesh,Others,3
2021-01-03,Jharkhand,2-Wheelers,23
2021-01-03,Jharkhand,3-Wheelers,0
2021-01-03,Jharkhand,4-Wheelers,0
2021-01-03,Jharkhand,Bus,0
2021-01-03,Jharkhand,Others,0
2021-01-03,Karnataka,2-Wheelers,78
2021-01-03,Karnataka,3-Wheelers,16
2021-01-03,Karnataka,4-Wheelers,0
2021-01-03,Karnataka,Bus,2
2021-01-03,Karnataka,Others,0
2021-01-03,Kerala,2-Wheelers,45
2021-01-03,Kerala,3-Wheelers,16
2021-01-03,Kerala,4-Wheelers,0
2021-01-03,Kerala,Bus,2
2021-01-03,Kerala,Others,0
2021-01-03,Madhya Pradesh,2-Wheelers,21
2021-01-03,Madhya Pradesh,3-Wheelers,0
2021-01-03,Madhya Pradesh,4-Wheelers,6
2021-01-03,Madhya Pradesh,Bus,1
2021-01-03,Madhya Pradesh,Others,0
2021-01-03,Maharashtra,2-Wheelers,0
2021-01-03,Maharashtra,3-Wheelers,0
2021-01-03,Maharashtra,4-Wheelers,20
2021-01-03,Maharashtra,Bus,3
2021-01-03,Maharashtra,Others,7
2021-01-03,Manipur,2-Wheelers,29
2021-01-03,Manipur,3-Wheelers,17
2021-01-03,Manipur,4-Wheelers,4
2021-01-03,Manipur,Bus,1
2021-01-03,Manipur,Others,4
2021-01-03,Meghalaya,2-Wheelers,32
2021-01-03,Meghalaya,3-Wheelers,12
2021-01-03,Meghalaya,4-Wheelers,7
2021-01-03,Meghalaya,Bus,0
2021-01-03,Meghalaya,Others,5
2021-01-03,Mizoram,2-Wheelers,36
2021-01-03,Mizoram,3-Wheelers,0
2021-01-03,Mizoram,4-Wheelers,6
2021-01-03,Mizoram,Bus,1
2021-01-03,Mizoram,Others,5
2021-01-03,Nagaland,2-Wheelers,0
2021-01-03,Nagaland,3-Wheelers,17
2021-01-03,Nagaland,4-Wheelers,8
2021-01-03,Nagaland,Bus,2
2021-01-03,Nagaland,Others,0
2021-01-03,Odisha,2-Wheelers,45
2021-01-03,Odisha,3-Wheelers,14
2021-01-03,Odisha,4-Wheelers,8
2021-01-03,Odisha,Bus,1
2021-01-03,Odisha,Others,0
2021-01-03,Puducherry,2-Wheelers,46
2021-01-03,Puducherry,3-Wheelers,17
2021-01-03,Puducherry,4-Wheelers,7
2021-01-03,Puducherry,Bus,0
2021-01-03,Puducherry,Others,2
2021-01-03,Punjab,2-Wheelers,0
2021-01-03,Punjab,3-Wheelers,14
2021-01-03,Punjab,4-Wheelers,5
2021-01-03,Punjab,Bus,1
2021-01-03,Punjab,Others,4
2021-01-03,Rajasthan,2-Wheelers,34
2021-01-03,Rajasthan,3-Wheelers,0
2021-01-03,Rajasthan,4-Wheelers,6
2021-01-03,Rajasthan,Bus,0
2021-01-03,Rajasthan,Others,0
2021-01-03,Sikkim,2-Wheelers,0
2021-01-03,Sikkim,3-Wheelers,18
2021-01-03,Sikkim,4-Wheelers,0
2021-01-03,Sikkim,Bus,1
2021-01-03,Sikkim,Others,4
2021-01-03,Tamil Nadu,2-Wheelers,36
2021-01-03,Tamil Nadu,3-Wheelers,0
2021-01-03,Tamil Nadu,4-Wheelers,19
2021-01-03,Tamil Nadu,Bus,0
2021-01-03,Tamil Nadu,Others,4
2021-01-03,Telangana,2-Wheelers,45
2021-01-03,Telangana,3-Wheelers,11
2021-01-03,Telangana,4-Wheelers,0
2021-01-03,Telangana,Bus,2
2021-01-03,Telangana,Others,4
2021-01-03,Tripura,2-Wheelers,0
2021-01-03,Tripura,3-Wheelers,9
2021-01-03,Tripura,4-Wheelers,8
2021-01-03,Tripura,Bus,1
2021-01-03,Tripura,Others,5
2021-01-03,Uttar Pradesh,2-Wheelers,0
2021-01-03,Uttar Pradesh,3-Wheelers,21
2021-01-03,Uttar Pradesh,4-Wheelers,12
2021-01-03,Uttar Pradesh,Bus,0
2021-01-03,Uttar Pradesh,Others,5
2021-01-03,Uttarakhand,2-Wheelers,0
2021-01-03,Uttarakhand,3-Wheelers,16
2021-01-03,Uttarakhand,4-Wheelers,4
2021-01-03,Uttarakhand,Bus,0
2021-01-03,Uttarakhand,Others,4
2021-01-03,West Bengal,2-Wheelers,31
2021-01-03,West Bengal,3-Wheelers,15
2021-01-03,West Bengal,4-Wheelers,0
2021-01-03,West Bengal,Bus,1
2021-01-03,West Bengal,Others,3
2021-01-04,Andhra Pradesh,2-Wheelers,49
2021-01-04,Andhra Pradesh,3-Wheelers,0
2021-01-04,Andhra Pradesh,4-Wheelers,6
2021-01-04,Andhra Pradesh,Bus,0
2021-01-04,Andhra Pradesh,Others,4
2021-01-04,Arunachal Pradesh,2-Wheelers,0
2021-01-04,Arunachal Pradesh,3-Wheelers,12
2021-01-04,Arunachal Pradesh,4-Wheelers,8
2021-01-04,Arunachal Pradesh,Bus,1
2021-01-04,Arunachal Pradesh,Others,2
2021-01-04,Assam,2-Wheelers,48
2021-01-04,Assam,3-Wheelers,16
2021-01-04,Assam,4-Wheelers,6
2021-01-04,Assam,Bus,0
2021-01-04,Assam,Others,5
2021-01-04,Bihar,2-Wheelers,51
2021-01-04,Bihar,3-Wheelers,16
2021-01-04,Bihar,4-Wheelers,0
2021-01-04,Bihar,Bus,0
2021-01-04,Bihar,Others,2
2021-01-04,Chandigarh,2-Wheelers,0
2021-01-04,Chandigarh,3-Wheelers,14
2021-01-04,Chandigarh,4-Wheelers,10
2021-01-04,Chandigarh,Bus,2
2021-01-04,Chandigarh,Others,0
2021-01-04,Chhattisgarh,2-Wheelers,0
2021-01-04,Chhattisgarh,3-Wheelers,7
2021-01-04,Chhattisgarh,4-Wheelers,0
2021-01-04,Chhattisgarh,Bus,1
2021-01-04,Chhattisgarh,Others,2
2021-01-04,Delhi,2-Wheelers,0
2021-01-04,Delhi,3-Wheelers,0
2021-01-04,Delhi,4-Wheelers,14
2021-01-04,Delhi,Bus,1
2021-01-04,Delhi,Others,5
2021-01-04,Goa,2-Wheelers,0
2021-01-04,Goa,3-Wheelers,8
2021-01-04,Goa,4-Wheelers,4
2021-01-04,Goa,Bus,2
2021-01-04,Goa,Others,5
2021-01-04,Gujarat,2-Wheelers,51
2021-01-04,Gujarat,3-Wheelers,0
2021-01-04,Gujarat,4-Wheelers,9
2021-01-04,Gujarat,Bus,0
2021-01-04,Gujarat,Others,3
2021-01-04,Haryana,2-Wheelers,0
2021-01-04,Haryana,3-Wheelers,0
2021-01-04,Haryana,4-Wheelers,5
2021-01-04,Haryana,Bus,2
2021-01-04,Haryana,Others,2
2021-01-04,Himachal Pradesh,2-Wheelers,58
2021-01-04,Himachal Pradesh,3-Wheelers,7
2021-01-04,Himachal Pradesh,4-Wheelers,4
2021-01-04,Himachal Pradesh,Bus,1
2021-01-04,Himachal Pradesh,Others,3
2021-01-04,Jharkhand,2-Wheelers,0
2021-01-04,Jharkhand,3-Wheelers,12
2021-01-04,Jharkhand,4-Wheelers,6
2021-01-04,Jharkhand,Bus,2
2021-01-04,Jharkhand,Others,0
2021-01-04,Karnataka,2-Wheelers,0
2021-01-04,Karnataka,3-Wheelers,22
2021-01-04,Karnataka,4-Wheelers,9
2021-01-04,Karnataka,Bus,0
2021-01-04,Karnataka,Others,0
2021-01-04,Kerala,2-Wheelers,35
2021-01-04,Kerala,3-Wheelers,17
2021-01-04,Kerala,4-Wheelers,9
2021-01-04,Kerala,Bus,1
2021-01-04,Kerala,Others,2
2021-01-04,Madhya Pradesh,2-Wheelers,30
2021-01-04,Madhya Pradesh,3-Wheelers,0
2021-01-04,Madhya Pradesh,4-Wheelers,6
2021-01-04,Madhya Pradesh,Bus,2
2021-01-04,Madhya Pradesh,Others,2
2021-01-04,Maharashtra,2-Wheelers,54
2021-01-04,Maharashtra,3-Wheelers,0
2021-01-04,Maharashtra,4-Wheelers,0
2021-01-04,Maharashtra,Bus,0
2021-01-04,Maharashtra,Others,10
2021-01-04,Manipur,2-Wheelers,0
2021-01-04,Manipur,3-Wheelers,13
2021-01-04,Manipur,4-Wheelers,10
2021-01-04,Manipur,Bus,1
2021-01-04,Manipur,Others,4
2021-01-04,Meghalaya,2-Wheelers,23
2021-01-04,Meghalaya,3-Wheelers,12
2021-01-04,Meghalaya,4-Wheelers,9
2021-01-04,Meghalaya,Bus,1
2021-01-04,Meghalaya,Others,5
2021-01-04,Mizoram,2-Wheelers,58
2021-01-04,Mizoram,3-Wheelers,6
2021-01-04,Mizoram,4-Wheelers,0
2021-01-04,Mizoram,Bus,1
2021-01-04,Mizoram,Others,0
2021-01-04,Nagaland,2-Wheelers,50
2021-01-04,Nagaland,3-Wheelers,16
2021-01-04,Nagaland,4-Wheelers,11
2021-01-04,Nagaland,Bus,2
2021-01-04,Nagaland,Others,0
2021-01-04,Odisha,2-Wheelers,39
2021-01-04,Odisha,3-Wheelers,11
2021-01-04,Odisha,4-Wheelers,11
2021-01-04,Odisha,Bus,1
2021-01-04,Odisha,Others,3
2021-01-04,Puducherry,2-Wheelers,55
2021-01-04,Puducherry,3-Wheelers,9
2021-01-04,Puducherry,4-Wheelers,4
2021-01-04,Puducherry,Bus,2
2021-01-04,Puducherry,Others,5
2021-01-04,Punjab,2-Wheelers,52
2021-01-04,Punjab,3-Wheelers,17
2021-01-04,Punjab,4-Wheelers,5
2021-01-04,Punjab,Bus,1
2021-01-04,Punjab,Others,2
2021-01-04,Rajasthan,2-Wheelers,24
2021-01-04,Rajasthan,3-Wheelers,8
2021-01-04,Rajasthan,4-Wheelers,7
2021-01-04,Rajasthan,Bus,0
2021-01-04,Rajasthan,Others,0
2021-01-04,Sikkim,2-Wheelers,33
2021-01-04,Sikkim,3-Wheelers,18
2021-01-04,Sikkim,4-Wheelers,0
2021-01-04,Sikkim,Bus,1
2021-01-04,Sikkim,Others,0
2021-01-04,Tamil Nadu,2-Wheelers,0
2021-01-04,Tamil Nadu,3-Wheelers,18
2021-01-04,Tamil Nadu,4-Wheelers,12
2021-01-04,Tamil Nadu,Bus,0
2021-01-04,Tamil Nadu,Others,7
2021-01-04,Telangana,2-Wheelers,0
2021-01-04,Telangana,3-Wheelers,12
2021-01-04,Telangana,4-Wheelers,9
2021-01-04,Telangana,Bus,0
2021-01-04,Telangana,Others,0
2021-01-04,Tripura,2-Wheelers,0
2021-01-04,Tripura,3-Wheelers,0
2021-01-04,Tripura,4-Wheelers,0
2021-01-04,Tripura,Bus,1
2021-01-04,Tripura,Others,5
2021-01-04,Uttar Pradesh,2-Wheelers,0
2021-01-04,Uttar Pradesh,3-Wheelers,0
2021-01-04,Uttar Pradesh,4-Wheelers,11
2021-01-04,Uttar Pradesh,Bus,2
2021-01-04,Uttar Pradesh,Others,6
2021-01-04,Uttarakhand,2-Wheelers,45
2021-01-04,Uttarakhand,3-Wheelers,9
2021-01-04,Uttarakhand,4-Wheelers,11
2021-01-04,Uttarakhand,Bus,0
2021-01-04,Uttarakhand,Others,3
2021-01-04,West Bengal,2-Wheelers,42
2021-01-04,West Bengal,3-Wheelers,0
2021-01-04,West Bengal,4-Wheelers,4
2021-01-04,West Bengal,Bus,0
2021-01-04,West Bengal,Others,5
2021-01-05,Andhra Pradesh,2-Wheelers,0
2021-01-05,Andhra Pradesh,3-Wheelers,16
2021-01-05,Andhra Pradesh,4-Wheelers,0
2021-01-05,Andhra Pradesh,Bus,0
2021-01-05,Andhra Pradesh,Others,3
2021-01-05,Arunachal Pradesh,2-Wheelers,40
2021-01-05,Arunachal Pradesh,3-Wheelers,10
2021-01-05,Arunachal Pradesh,4-Wheelers,10
2021-01-05,Arunachal Pradesh,Bus,0
2021-01-05,Arunachal Pradesh,Others,3
2021-01-05,Assam,2-Wheelers,23
2021-01-05,Assam,3-Wheelers,0
2021-01-05,Assam,4-Wheelers,10
2021-01-05,Assam,Bus,0
2021-01-05,Assam,Others,2
2021-01-05,Bihar,2-Wheelers,0
